cycle,capacity_Ah,avg_voltage_V,min_voltage_V,max_voltage_V,avg_current_A,avg_temperature_C,max_temperature_C,discharge_time_s,SOH_percent,SOH_change_percent,SOH_rolling_mean
2,1.8564874208181574,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,32.572328114029,38.98218133148803,3690.234,100.0,,
4,1.846327249719927,3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,32.72523522519307,39.033397966787035,3672.344,99.45272071416714,-0.5472792858328575,
6,1.8353491942234077,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,32.64286193755933,38.818796689817404,3651.641,98.86138595081705,-0.5913347633500905,
8,1.8352625275821128,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,32.51487646204882,38.7623045063458,3631.563,98.85671763794173,-0.004668312875324432,
10,1.8346455082120419,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277586,32.38234901543077,38.66539257343368,3629.172,98.82348178817772,-0.033235849764011505,99.19886121822073
12,1.8356616600675495,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168803,32.43418218230641,38.75169504640032,3652.281,98.87821697485944,0.05473518668172517,98.97450461319262
14,1.8351461429226603,3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,32.480416444757985,38.8207012322275,3650.828,98.85044855913476,-0.027768415724679585,98.85405018218614
16,1.8257567905665537,3.554133296801584,2.6652049047458775,4.188927891511958,-1.8443412120754061,32.41046186109587,38.51713023385634,3572.453,98.34468955151549,-0.5057590076192753,98.75071090232584
18,1.8247738529891333,3.5529355991467955,2.6038584726333673,4.189029250882121,-1.853972745505648,32.3461408313,38.526267904657,3550.594,98.29174345738105,-0.05294609413444107,98.6377160662137
20,1.824613268496936,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,32.27679750791685,38.52698128472781,3551.25,98.2830935473199,-0.0086499100611519,98.52963841804213
22,1.8246195526864504,3.549292319740949,2.4724483018527317,4.188916055911241,-1.863380178294828,32.15709350345252,38.54143406601644,3530.25,98.28343204622077,0.00033849890087367385,98.41068143231439
25,1.8142019357673917,3.559759220648976,2.64956413267546,4.189876247266316,-1.872968810287894,32.36407129853099,38.52197451768004,3491.016,97.72228539894279,-0.5611466472779796,98.185048800276
27,1.8137521577549054,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160833,32.3181954403762,38.582485834057856,3470.281,97.69805803238793,-0.024227366554853802,98.05572249645049
29,1.8134404914735822,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,32.15709029211502,38.520294134873915,3470.0,97.68127007692816,-0.01678795545977607,97.93362782035992
31,1.8025980036306504,3.562746818017503,2.694621861688723,4.189110301768517,-1.8817935155260215,32.04407000314609,38.21358592965045,3450.297,97.09723768751647,-0.5840323894116892,97.69645664839922
33,1.80210690024615,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,31.931593674911532,38.1983618706913,3429.407,97.07078432300706,-0.026453364509407606,97.45392710375647
35,1.802579500826209,3.5603420474985823,2.5739035098380962,4.188899969428112,-1.9027629207037406,31.941655359029298,38.31926916027133,3409.484,97.09624103091467,0.025456707907608234,97.32871823015087
37,1.8030683142834096,3.5591189041401865,2.4942396831720126,4.188779799856791,-1.9133470605822436,31.965008645476725,38.4787542519308,3390.422,97.12257104811376,0.026330017199086342,97.21362083329602
39,1.8027776247196041,3.557886771846508,2.4556793246645583,4.189272591516219,-1.9131602105481538,31.966241678512723,38.54659017774874,3390.281,97.1069130069902,-0.015658041123558064,97.09874941930843
42,1.8470259949329193,3.5520375235511907,2.632142800798914,4.187614060563439,-1.8553455745575975,32.37143341978575,38.44749852224995,3591.734,99.49035873989017,2.383445732899972,97.57737362978318
46,1.847417311283644,3.5525668436897124,2.5027764692056795,4.1876287811083985,-1.8746995273150975,32.70024990461686,38.992275791716615,3552.297,99.5114370594272,0.021078319537025436,98.0655041770672
50,1.8361774213478947,3.556794038327039,2.617507742871704,4.187447226312926,-1.873827212788385,32.32266411829938,38.51424197364312,3531.578,98.90599854098058,-0.6054385184466184,98.42745567908038
54,1.8257807475776242,3.5614100044534203,2.694074478000972,4.187344026387161,-1.883193546754683,31.98795810666763,38.165816144899125,3492.907,98.34597999985365,-0.5600185411269223,98.67213746942835
58,1.8251136435078368,3.5566107947817986,2.6237674644021887,4.187438187636325,-1.873239184822504,31.894456524691385,38.16526203587147,3511.594,98.31004632950896,-0.03593367034468997,98.91276413393211
62,1.8255815042203762,3.5586742170266272,2.5010798299873738,4.18774138117799,-1.9139593751505897,31.78039681801023,38.27549578575718,3431.9370000000054,98.33524772367372,0.02520139416475331,98.68174193068882
66,1.8140311275083907,3.564103182686905,2.6849988185249796,4.188261122540052,-1.9030532722310995,31.688747146342205,37.982160799183106,3431.125,97.71308478400267,-0.6221629396710426,98.3220714756039
70,1.8147691941158939,3.559588063594272,2.547109116468133,4.187338767288234,-1.9134590742247914,31.596747992569153,38.11100191887773,3412.406,97.75284086310275,0.03975607910007284,98.09143994002835
74,1.813969388710352,3.556833231052199,2.471314764334132,4.187560306288175,-1.913620909902553,31.565586498787077,38.18831137948753,3410.688,97.70975921350076,-0.04308164960198724,97.96419578275777
78,1.802765665167823,3.5624410850948944,2.6613903306108773,4.18805176248713,-1.9025819745719061,31.59124667045208,37.998541119085836,3410.718,97.10626880376819,-0.6034904097325722,97.72344027760963
82,1.804077040117352,3.5591407106855666,2.541762355407921,4.187667484260542,-1.9130621638638965,31.603485399391182,38.194201649765226,3392.719,97.17690623092355,0.07063742715536137,97.49177197905958
86,1.8518025516704486,3.5573161327793144,2.628919415830567,4.2010701773378685,-1.920618117118412,31.91556385491565,38.45796400011448,3470.672,99.74764875349146,2.5707425225679117,97.89868477295734
90,1.8307038456739428,3.561870782772737,2.6312552691827045,4.1996223345495824,-1.9298830859597569,32.081128118597164,38.49126351534004,3414.109,98.61116348782737,-1.136485265664092,98.07034929790225
94,1.8199041089501267,3.5617586337260088,2.654880745360911,4.199853323702163,-1.9293005284805407,31.849792632896243,38.31473393357882,3395.219,98.02943389447215,-0.5817295933552202,98.13428423409655
98,1.8093079637028517,3.5597307651083123,2.6749688422803803,4.199103467081427,-1.923330987770314,31.465690433362017,37.861934640176806,3386.0,97.45867078945713,-0.5707631050150184,98.20476463123433
102,1.80460990458052,3.5575937553540915,2.6159705726789904,4.199998536865001,-1.9284469980320087,31.40934895665031,37.90665575786083,3368.187,97.20560906279802,-0.2530617266591122,98.21050519760924
106,1.7993770651972192,3.5597237883937995,2.658447162110498,4.19967522099872,-1.9231439161693824,31.902247475518077,38.34003238560517,3368.266,96.92374130950105,-0.28186775329696445,97.64572370881115
110,1.7884432335370462,3.559061771422033,2.6979426084271156,4.1991847248803165,-1.9170149640438081,31.649024294808623,38.0745950590744,3358.719,96.33478867036308,-0.5889526391379718,97.19044874531829
114,1.7829230484252723,3.557015527748059,2.6617272246516333,4.200012480335,-1.922048805055383,31.48874626238971,38.07252758016199,3339.5,96.03744299218224,-0.29734567818084656,96.7920505648603
118,1.7730337158018288,3.5562481933590964,2.699288287625812,4.1992373656547874,-1.9162302821549877,31.329995610092634,37.80133585100446,3331.265,95.50475246530081,-0.5326905268814244,96.40126690002904
122,1.773037755078937,3.5532756526091784,2.6127932408838532,4.1993957811187075,-1.9220800182578983,31.569551201845574,38.39873985476869,3321.188,95.50497004162602,0.0002175763252125762,96.06113909579463
126,1.7678721106662054,3.556266431640255,2.6637064901468075,4.1995786980260705,-1.9162417890311958,32.111426258867944,38.74929237918251,3321.844,95.22672175646096,-0.2782482851650627,95.72173518518662
130,1.7623150704093087,3.5563095420140822,2.6668454289754746,4.199546957512695,-1.9158809823517762,32.271676011112376,38.87275464755104,3311.828,94.92739086983165,-0.2993308866293063,95.44025562508034
134,1.7676172924938447,3.558950851054106,2.684431051981017,4.194091469340824,-1.9114406265753041,31.842291659678658,38.503541429116005,3327.391,95.21299593373234,0.2856050639006895,95.27536621339036
136,1.762668359743147,3.5534418211598053,2.645224362345869,4.200715235801255,-1.9158166997544155,31.759815453754253,38.27009094548294,3312.078,94.94642085785509,-0.26657507587725604,95.1636998919012
140,1.7517304870664143,3.5510121537420285,2.6603527244917,4.1990980807180325,-1.9151304155635374,31.41911167391793,38.11684755251712,3293.172,94.35725054869607,-0.5891703091590159,94.93415599331522
144,1.7418496047960008,3.551317608213948,2.6926849789916263,4.199398534411534,-1.9148485784393638,31.331626572312267,38.04152715355532,3275.328,93.82501520146927,-0.532235347226802,94.65381468231689
